Periodos,INF,M2,LP,PIB,INPC,i
2001/01,0.37,1794447867,20.93796322,11084811.83,48.65656406,18.00666667
2001/02,0.323333333,1850234083,21.01524467,11015441.43,49.21121429,14.03
2001/03,0.42,1935677701,20.96372334,11094990.49,49.54609022,10.44666667
2001/04,0.323333333,2027968940,21.10696727,11126459.07,50.32539435,9.06
2002/01,0.456666667,2027001288,20.97315667,11083091.25,50.9653901,8.476666667
2002/02,0.413333333,2047924443,21.02675932,11190276.87,51.56041679,7.666666667
2002/03,0.423333333,2062552207,21.02387666,11228247.49,52.14724174,8.106666667
2002/04,0.563333333,2127850406,20.91504478,11186060.34,53.01394772,8.42
2003/01,0.436666667,2185887875,21.06862127,11345648.47,53.73749785,9.67
2003/02,-0.023333333,2165130715,21.51907991,11336981.65,54.00360542,6.763333333
2003/03,0.346666667,2188328538,21.1597372,11376469.11,54.26902226,5.106666667
2003/04,0.543333333,2238542040,20.98575728,11514369.88,55.12018659,5.783333333
2004/01,0.52,2312412912,21.04155737,11712041.1,56.06011101,5.88
2004/02,0.02,2311609631,21.54120993,11920141.23,56.31879313,6.713333333
2004/03,0.57,2313696096,20.99211212,12036555.84,56.86844947,7.463333333
2004/04,0.583333333,2434976729,21.0298697,12221238.5,58.06291157,8.526666667
2005/01,0.26,2460953230,21.3638146,12294096.73,58.52657078,9.406666667
2005/02,0.003333333,2482591161,21.62923534,12298252.06,58.85881671,10.04666667
2005/03,0.303333333,2554046804,21.35761159,12462811.42,59.12768724,9.88
2005/04,0.526666667,2727100735,21.19983821,12577437.32,59.86246189,9.1
2006/01,0.29,2900669017,21.49820724,12865892.6,60.69083181,8.02
2006/02,-0.07,3051582017,21.90892599,13065294.73,60.69842995,7.386666667
2006/03,0.596666667,2996967395,21.22420008,13117656.89,61.22183816,7.306666667
2006/04,0.513333333,3077980271,21.33420613,13179755.69,62.34359988,7.316666667
2007/01,0.34,3182758859,21.54101422,13305621.58,63.17922257,7.443333333
2007/02,-0.143333333,3209347403,22.03266679,13471041.79,63.11066663,7.623333333
2007/03,0.536666667,3298628468,21.38010594,13522290.76,63.66256787,7.703333333
2007/04,0.503333333,3449813126,21.45825257,13641944.48,64.71922734,7.863333333
2008/01,0.493333333,3551672426,21.4973511,13832823.73,65.63842956,7.93
2008/02,0.176666667,3621018343,21.83335447,13960525.32,66.21364328,7.956666667
2008/03,0.606666667,3647663130,21.41068589,13865256.77,67.15149548,8.5
2008/04,0.836666667,3850221258,21.23472979,13356909.04,68.71999328,8.716666667
2009/01,0.343333333,3981695619,21.76164027,12602859.38,69.69186442,7.996666667
2009/02,0.08,3956755608,22.01869024,12504977.51,70.16156761,5.906666667
2009/03,0.336666667,3933059264,21.75601673,12787570.93,70.60070555,4.906666667
2009/04,0.41,4027181028,21.70633247,12993212.14,71.4516972,4.923333333
2010/01,0.793333333,4069736087,21.33351066,13066508.59,73.00448066,4.916666667
2010/02,-0.326666667,4081983873,22.45651562,13170351.61,72.94024184,4.94
2010/03,0.34,4192646975,21.81659811,13192502.64,73.19201656,4.906666667
2010/04,0.64,4344639926,21.55220872,13421967.95,74.48715402,4.876666667
2011/01,0.353333333,4439294499,21.86042797,13437663.56,75.53263417,4.846666667
2011/02,-0.25,4491439700,22.47543913,13742877.83,75.34407116,4.85
2011/03,0.296666667,4602049236,21.95310086,13958655.7,75.6575916,4.803333333
2011/04,0.856666667,4822911047,21.43997687,14053442.04,77.09447683,4.796666667
2012/01,0.323333333,4998507200,22.00907181,14146806.21,78.46425066,4.78
2012/02,-0.056666667,5061084062,22.40151321,14156481.24,78.25615522,4.753333333
2012/03,0.433333333,5106371380,21.92042155,14249694.69,79.12785223,4.79
2012/04,0.473333333,5228058297,21.90397245,14229644.92,80.26423864,4.833333333
2013/01,0.54,5303729325,21.85167606,14370154.63,81.35705271,4.713333333
2013/02,-0.106666667,5360569470,22.50900272,14206466.3,81.7431937,4.316666667
2013/03,0.21,5536517890,22.2246316,14228410.94,81.84962037,4.243333333
2013/04,0.66,5723950925,21.80792513,14333044.86,83.19510387,3.853333333
2014/01,0.47,5864347062,22.02215698,14377498.57,84.73916702,3.79
2014/02,-0.113333333,6006496297,22.62944077,14649735.29,84.67481018,3.68
2014/03,0.36,6116567165,22.17426686,14617253.25,85.24375463,3.296666667
2014/04,0.616666667,6242453212,21.93797242,14815793.8,86.67412905,3.293333333
2015/01,0.17,6466625104,22.41992019,14811646.73,87.3387323,3.3
2015/02,-0.196666667,6516692505,22.79429947,15020690.59,87.16143799,3.3
2015/03,0.243333333,6552824182,22.35982863,15241791.43,87.47270469,3.316666667
2015/04,0.49,6630344457,22.12492259,15264917.01,88.64540137,3.35
2016/01,0.323333333,6797626491,22.31650601,15398603.35,89.6913877,3.79
2016/02,-0.22,6995507037,22.88853393,15341803.94,89.39164012,4.08
2016/03,0.383333333,7172563751,22.31019566,15546053.58,89.90799728,4.586666667
2016/04,0.616666667,7438008005,22.11320224,15752627.86,91.52067432,5.43
2017/01,0.963333333,7577516609,21.78511803,15776541.06,94.1570507,6.4
2017/02,0.083333333,7597448699,22.667745,15845518.31,94.84268886,7.02
2017/03,0.393333333,7761437551,22.37910007,15884097.62,95.73667288,7.376666667
2017/04,0.75,8130279613,22.06886115,15957002.69,97.55544203,7.423333333
2018/01,0.41,8268768847,22.42575147,16285313.38,99.15284372,7.75
2018/02,-0.036666667,8478071519,22.89741551,16255413.24,99.17513072,7.873333333
2018/03,0.513333333,8483398651,22.34804366,16233022.04,100.4393664,8.106666667
2018/04,0.69,8688695154,22.19528861,16053459.04,102.2543333,8.26
2019/01,0.15,8757849923,22.74321627,16237816.29,103.221,8.556666667
2019/02,-0.06,8870809731,22.96603192,16149355.28,103.3543333,8.506666667
2019/03,0.206666667,9018539546,22.71588158,16080528.61,103.7663333,8.35
2019/04,0.636666667,9146083638,22.29992494,15969039.79,105.261,7.856666667
2020/01,0.283333333,9463612492,22.68738668,15718746.64,106.7246667,7.34
2020/02,-0.026666667,10104453156,23.06290874,12295562.58,106.22,6.063333333
2020/03,0.426666667,10157721450,22.61483332,13851497.24,107.8083333,4.973333333
